timestamp,open,high,low,close,volume,symbol,sma_50,ema_20,rsi,ema_12,ema_26,macd,signal_line,bollinger_upper,bollinger_lower,roc,top_3_highs,bottom_3_lows
2023-11-16,74.02,74.35,69.78,70.97,516234.012,LTC/USDT,,70.97,,70.97,70.97,0.0,0.0,,,,74.35,
2023-11-17,70.96,71.66,68.0,70.29,701059.335,LTC/USDT,,70.90523809523809,,70.86538461538461,70.91962962962963,-0.05424501424501216,-0.010849002849002433,,,,71.66,
2023-11-18,70.28,70.33,67.5,69.86,319967.121,LTC/USDT,,70.80569160997732,,70.71071005917159,70.84113854595336,-0.1304284867817671,-0.034764899635555374,,,,,67.5
2023-11-19,69.85,70.67,68.5,70.54,267656.397,LTC/USDT,,70.78038764712234,,70.68444697314519,70.81883198699384,-0.1343850138486573,-0.054688922478175764,,,,,
2023-11-20,70.56,71.02,68.62,69.51,363216.736,LTC/USDT,,70.6593983473964,,70.50376282343055,70.72188146943874,-0.2181186460081932,-0.08737486718417925,,,,,
2023-11-21,69.52,71.87,65.12,66.15,766319.59,LTC/USDT,,70.22993183812056,,69.83395315828739,70.38322358281366,-0.5492704245262701,-0.1797539786525974,,,,71.87,65.12
2023-11-22,66.15,69.15,65.96,68.7,411855.152,LTC/USDT,,70.08422404401384,,69.65949882624318,70.25854035445708,-0.5990415282139026,-0.26361148856485844,,,,,65.96
2023-11-23,68.7,70.76,68.38,69.27,430641.138,LTC/USDT,,70.0066788969649,,69.59957592989807,70.18531514301581,-0.5857392131177477,-0.32803703347543633,,,,,
2023-11-16,15.027,15.22,13.55,13.866,11515683.62,LINK/USDT,,13.866,,13.866,13.866,0.0,0.0,,,,15.22,
2023-11-17,13.866,14.269,12.853,13.702,10376868.15,LINK/USDT,,13.850380952380952,,13.840769230769231,13.853851851851852,-0.013082621082620705,-0.002616524216524141,,,,,12.853
2023-11-18,13.707,13.81,12.921,13.75,5989655.98,LINK/USDT,,13.840820861678004,,13.82680473372781,13.846159122085048,-0.019354388357237795,-0.005964097044666872,,,,,12.921
2023-11-19,13.751,15.054,13.369,14.908,8024107.07,LINK/USDT,,13.942456970089623,,13.993142467000453,13.9248140019306,0.0683284650698539,0.008894415378237285,,,,15.054,
2023-11-20,14.911,15.393,14.365,14.477,7852547.72,LINK/USDT,,13.993365830081087,,14.067582087461922,13.965716668454258,0.10186541900766422,0.027488616104122673,,,,15.393,
2023-11-21,14.475,14.663,13.3,13.359,9307600.94,LINK/USDT,,13.932950036740031,,13.958569458621627,13.9207746930132,0.03779476560842632,0.029549846004983404,,,,,
2023-11-22,13.362,14.621,13.24,14.212,7341318.89,LINK/USDT,,13.959526223717171,,13.997558772679838,13.942346937975184,0.05521183470465374,0.034682243744917476,,,,,13.24
2023-11-23,14.213,14.887,14.122,14.563,4828015.13,LINK/USDT,,14.01699991669649,,14.084549730729094,13.988321238865913,0.09622849186318128,0.04699149336857024,,,,,
2023-11-16,5.388,5.587,5.105,5.196,4575351.84,UNI/USDT,,5.196,,5.196,5.196,0.0,0.0,,,,5.587,
2023-11-17,5.196,5.4,4.849,5.108,4238834.56,UNI/USDT,,5.187619047619047,,5.1824615384615385,5.189481481481481,-0.007019943019942687,-0.0014039886039885375,,,,,
2023-11-18,5.107,5.2,4.81,5.064,2423826.88,UNI/USDT,,5.175845804988661,,5.164236686390533,5.180186556927297,-0.015949870536764443,-0.004313164990543719,,,,,4.81
2023-11-19,5.063,5.248,4.944,5.234,1909325.3,UNI/USDT,,5.181384299751646,,5.174969503868913,5.184172737895645,-0.00920323402673251,-0.005291178797781477,,,,,
2023-11-20,5.235,5.359,5.1,5.187,2294451.13,UNI/USDT,,5.181919128346728,,5.176820349427541,5.1843821647181905,-0.007561815290649143,-0.005745306096355011,,,,,
2023-11-21,5.186,5.269,4.824,4.85,4294268.54,UNI/USDT,,5.150307782789897,,5.126540295669458,5.1596131154798055,-0.033072819810347376,-0.011210808839153485,,,,,4.824
2023-11-22,4.85,6.294,4.834,6.109,12928534.78,UNI/USDT,,5.241611803476573,,5.277687942489542,5.229938069888709,0.047749872600832965,0.0005813274488438037,,,,6.294,4.834
2023-11-23,6.109,6.443,6.052,6.348,7018103.54,UNI/USDT,,5.346982107907376,,5.442351335952689,5.312757472119175,0.1295938638335139,0.026383834725777825,,,,6.443,
2023-11-16,0.888,0.902,0.829,0.836,4511665.5,XTZ/USDT,,0.836,,0.836,0.836,0.0,0.0,,,,0.902,
2023-11-17,0.836,0.885,0.811,0.852,3602785.0,XTZ/USDT,,0.8375238095238096,,0.8384615384615385,0.8371851851851851,0.001276353276353337,0.0002552706552706674,,,,0.885,
2023-11-18,0.852,0.852,0.804,0.839,2181471.6,XTZ/USDT,,0.8376643990929705,,0.8385443786982248,0.8373196159122085,0.0012247627860163535,0.0004491690814198046,,,,,
2023-11-19,0.84,0.862,0.821,0.859,1607795.2,XTZ/USDT,,0.8396963610841162,,0.8416913973600364,0.8389255702890819,0.0027658270709545185,0.0009125006793267474,,,,,
2023-11-20,0.86,0.867,0.834,0.842,2051038.9,XTZ/USDT,,0.8399157552665812,,0.8417388746892616,0.839153305823224,0.0025855688660375575,0.0012471143166689095,,,,0.867,
2023-11-21,0.842,0.851,0.762,0.766,5404650.2,XTZ/USDT,,0.8328761595269069,,0.8300867401216828,0.8337345424289111,-0.003647802307228276,0.00026813099188947235,,,,,0.762
2023-11-22,0.765,0.811,0.762,0.808,4798858.5,XTZ/USDT,,0.8305070014767253,,0.8266887801029624,0.8318282800267696,-0.005139499923807134,-0.0008133951912498489,,,,,0.762
